Rome|41.892916|12.482520
Milan|45.465454|9.186516
Naples|40.851775|14.268124
Turin|45.070982|7.685676
Palermo|38.115688|13.361267
Genoa|44.405650|8.946256
Bologna|44.494887|11.342616
Florence|43.771033|11.248001
Bari|41.117143|16.871871
Catania|37.508039|15.082851
Venice|45.440847|12.315515
Verona|45.438356|10.991658
Messina|38.193814|15.554015
Trieste|45.649535|13.777972
Brescia|45.541187|10.219444
Taranto|40.465794|17.247778
Prato|43.877705|11.102228
Parma|44.801485|10.327904
Modena|44.648837|10.920087
Perugia|43.110717|12.390828
Livorno|43.548473|10.310567
Ravenna|44.418360|12.203529
Foggia|41.462198|15.544630
Salerno|40.682441|14.768096
Ferrara|44.838124|11.619787
Syracuse|37.075474|15.286586
Pescara|42.461790|14.216090
Monza|45.584500|9.274449
Forli|44.222740|12.040731
Trento|46.069692|11.121089
Vicenza|45.545479|11.535421
Terni|42.563617|12.642660
Novara|45.446930|8.622161
Bolzano|46.498295|11.354758
Piacenza|45.047375|9.686581
Ancona|43.615830|13.518915
Arezzo|43.466968|11.882308
Andria|41.225189|16.290890
Cesena|44.139644|12.246429
Lecce|40.351515|18.175016
Pesaro|43.912476|12.915549
Alessandria|44.907273|8.611680
Barletta|41.314611|16.278694
Catanzaro|38.909792|16.587652
Pisa|43.722839|10.401689
Como|45.808060|9.085176
Lucca|43.837621|10.495061
Treviso|45.666901|12.243039
Marsala|37.798045|12.437016
Varese|45.820599|8.825058
Casoria|40.907598|14.292825
Caserta|41.072348|14.331134
Gela|37.074153|14.240354
Cinisello Balsamo|45.558355|9.214384
L'Aquila|42.349848|13.399509
Cremona|45.133249|10.022651
Pavia|45.184725|9.158207
Massa|44.035394|10.139344
Trapani|38.017618|12.537202
Aprilia|41.594402|12.656031
Cosenza|39.298263|16.253736
Altamura|40.825392|16.552787
Potenza|40.640407|15.805604
Carrara|44.079324|10.097677
Viareggio|43.865727|10.251310
Fano|43.839816|13.019420
Afragola|40.923039|14.309304
Vigevano|45.321879|8.846673
Viterbo|42.420677|12.107669
Vittoria|36.952100|14.537265
Savona|44.297560|8.464500
Benevento|41.129761|14.782621
Pomezia|41.670027|12.499724
Matera|40.666379|16.604320
Caltanissetta|37.490111|14.062893
Molfetta|41.202777|16.598719
Agrigento|37.311090|13.576548
Cerignola|41.265659|15.893916
Foligno|42.950868|12.701475
Faenza|44.289853|11.877409
Manfredonia|41.630735|15.916510
Sanremo|43.815967|7.776057
Avellino|40.914384|14.790280
Bagheria|38.078918|13.512365
Acerra|40.944109|14.371438
Olbia|40.924411|9.495056
Anzio|41.449596|12.619725
San Severo|41.685420|15.379516
Modica|36.866944|14.756971
Teramo|42.661143|13.698664
Ercolano|40.807919|14.348163
Siena|43.318809|11.330757
Velletri|41.686842|12.778535
Gallarate|45.660208|8.791797
Aversa|40.973174|14.207669
Montesilvano|42.517162|14.147202
Mazara del Vallo|37.655093|12.589961
Battipaglia|40.609375|14.980836
Rho|45.532648|9.039612
Collegno|45.078705|7.566241
